"name","City","Position"
"SMX","Santa Maria, CA","N345356 W1202727"
"SPI","Springfield, IL","N395039 W0894040"
"SUN","Sun Valley/Hailey/Ketchum, ID","N433015 W1141745"
"YUM","Yuma, AZ","N323924 W1143622"
"BLD","Boulder City, NV","N355651 W1145140"
"DQR","Peach Springs, AZ","N355919 W1134836"
"GCN","Grand Canyon, AZ","N355708 W1120849"
"PGA","Page, AZ","N365534 W1112654"
"SDX","Sedona, AZ","N345055 W1114718"
"TVL","Lake Tahoe, CA","N385338 W1195943"
"AIA","Alliance, NE","N420312 W1024814"
"ALS","Alamosa, CO","N372606 W1055160"
"BFF","Scottsbluff, NE","N415226 W1033544"
"CDR","Chadron, NE","N425015 W1030544"
"CEZ","Cortez, CO","N371811 W1083741"
"CNY","Moab, UT","N384518 W1094517"
"CVN","Clovis, NM","N342530 W1030445"
"CYS","Cheyenne, WY","N410921 W1044843"
"DDC","Dodge City, KS","N374548 W0995756"
"DIK","Dickinson, ND","N464750 W1024807"
"EAR","Kearney, NE","N404337 W0990024"
"ELY","Ely, NV","N391759 W1145031"
"FMN","Farmington, NM","N364428 W1081348"
"GBD","Great Bend, KS","N382040 W0985133"
"GDV","Glendive, MT","N470819 W1044826"
"GGW","Glasgow, MT","N481245 W1063653"
"GRI","Grand Island, NE","N405803 W0981835"
"HON","Huron, SD","N442307 W0981343"
"HVR","Havre, MT","N483235 W1094544"
"HYS","Hays, KS","N385042 W0991627"
"IGM","Kingman, AZ","N351534 W1135617"
"ISN","Williston, ND","N481041 W1033832"
"IWD","Ironwood, MI","N463139 W0900753"
"JLN","Joplin, MO","N370906 W0942954"
"LBF","North Platte, NE","N410734 W1004101"
"LBL","Liberal, KS","N370239 W1005736"
"LWT","Lewistown, MT","N470257 W1092800"
"MBL","Manistee/Ludington, MI","N441621 W0861449"
"MCE","Merced, CA","N371705 W1203050"
"MCK","Mccook, NE","N401223 W1003532"
"MLS","Miles City, MT","N462541 W1055310"
"OLF","Wolf Point, MT","N480540 W1053430"
"PIR","Pierre, SD","N442258 W1001709"
"PRC","Prescott, AZ","N343916 W1122510"
"PUB","Pueblo, CO","N381721 W1042948"
"RHI","Rhinelander, WI","N453752 W0892803"
"RIW","Riverton/Lander, WY","N430351 W1082735"
"SDY","Sidney, MT","N474225 W1041133"
"SHR","Sheridan, WY","N444609 W1065849"
"SOW","Show Low, AZ","N341556 W1100020"
"SVC","Silver City/Hurley, NM","N323812 W1080923"
"TBN","Fort Leonard Wood, MO","N374430 W0920827"
"TEX","Telluride, CO","N375714 W1075431"
"VEL","Vernal, UT","N402627 W1093036"
"VIS","Visalia, CA","N361907 W1192334"
"WRL","Worland, WY","N435757 W1075703"
"DHN","Dothan, AL","N311917 W0852659"
"FFO","Dayton, OH","N394930 W0840248"
"FNL","Ft. Collins/Loveland, CO","N402707 W1050041"
"FTW","Dallas/Ft.Worth, TX","N324911 W0972145"
"IFP","Bullhead City, AZ","N350927 W1143334"
"ISO","Kinston, NC","N351942 W0773643"
"LRD","Laredo, TX","N273237 W0992742"
"PAM","Panama City, FL","N300412 W0853435"
"PGD","Punta Gorda, FL","N265513 W0815926"
"SCK","Stockton, CA","N375339 W1211419"
"TOL","Toledo, OH","N413512 W0834828"
"YNG","Youngstown, OH","N411539 W0804045"
"ALW","Walla Walla, WA","N460540 W1181717"
"EAT","Wenatchee, WA","N472356 W1201225"
"STS","Santa Rosa, CA","N383032 W1224846"
"YKM","Yakima, WA","N463405 W1203239"
"SIG","San Juan, PR","N182724 W0660556"
"SPB","Charlotte Amalie, VI","N454616 W1225143"
"SSB","Christiansted, VI","N174449 W0644218"
"VQS","Vieques, PR","N180805 W652937"
"CEF","Chicopee Falls, MA","N421154 W0723203"
"CSG","Columbus, GA","N323059 W0845620"
"IAG","Niagara Falls, NY","N430626 W0785644"
"LBE","Latrobe, PA","N401633 W0792417"
"ORH","Worcester, MA","N421602 W0715233"
"RME","Rome, NY","N431402 W0752425"
"MEI","Meridian, MS","N321959 W0884504"
"VLD","Valdosta, GA","N304657 W0831636"
"CLM","Port Angeles, WA","N480713 W1232959"
"KEH","Kenmore, WA","N474526 W1221526"
"LKE","Seattle, WA","N473744 W1222019"
"LPS","Lopez Island, WA","N482857 W1225613"
"PWT","Bremerton, WA","N472934 W1224545"
"RCE","Roche Harbor, WA","N352917 W974925"
"WSX","Westsound, WA","N483704 W1225710"
"BRO","Brownsville, TX","N255425 W0972533"
"JQF","Cabarrus, NC","N352316 W804233"
"NYL","Yuma M. C. A. S., AZ","N323924 W1143622"
"ALO","Waterloo, IA","N423325 W0922401"
"APN","Alpena, MI","N450441 W0833337"
"ATY","Watertown, SD","N445450 W0970917"
"BJI","Bemidji, MN","N473034 W0945601"
"BRD","Brainerd, MN","N462352 W0940814"
"CIU","Sault Ste Marie, MI","N461503 W0842821"
"DVL","Devils Lake, ND","N480651 W0985432"
"ESC","Escanaba, MI","N454322 W0870537"
"FOD","Fort Dodge, IA","N423305 W0941133"
"HIB","Chisholm/Hibbing, MN","N472312 W0925020"
"IMT","Iron Mountain/Kingsfd, MI","N454906 W0880652"
"INL","International Falls, MN","N483358 W0932411"
"JMS","Jamestown, ND","N465547 W0984041"
"MCW","Mason City, IA","N430928 W0931953"
"MSL","Muscle Shoals, AL","N344443 W0873637"
"PIB","Hattiesburg/Laurel, MS","N312802 W0892013"
"SUX","Sioux City, IA","N422409 W0962304"
"TUP","Tupelo, MS","N341605 W0884612"
"TVF","Thief River Falls, MN","N480356 W0961100"
"ACK","Nantucket, MA","N411511 W0700337"
"AFK","Nebraska, NE","N403620 W955204"
"BEH","Benton Harbor/St. Joseph, MI","N420743 W0862543"
"EEN","Keene, NH","N425354 W0721615"
"IOW","Iowa City, IA","N413821 W0913247"
"LEB","Lebanon-Hanover, NH","N433734 W0721815"
"MPV","Montpelier/Barre, VT","N441213 W0723344"
"MVY","Martha's Vineyrd, MA","N412335 W0703652"
"OXC","Waterbury, CT","N412843 W0730807"
"PVC","Provincetown, MA","N420419 W0701317"
"PWK","Chicago, IL","N420651 W0875405"
"PYM","Plymouth, MA","N415432 W0704344"
"RIL","Rifle, CO","N393135 W1074337"
"1G4","Peach Springs, AZ","N355925 W1134859"
"VGT","Las Vegas, NV","N361242 W1151145"
"BRL","Burlington, IA","N404660 W0910732"
"DEC","Decatur, IL","N395004 W0885156"
"DBQ","Dubuque, IA","N422407 W0904234"
"ROW","Roswell, NM","N331806 W1043150"
"SAF","Santa Fe, NM","N353700 W1060517"
"AND","Anderson, SC","N342942 W0824232"
"BMG","Bloomington, IN","N390846 W0863700"
"DET","Detroit, MI","N422433 W0830036"
"LUK","Cincinnati, OH","N390612 W0842507"
"TCL","Tuscaloosa, AL","N331314 W0873641"
"ENV","Wendover, UT","N404307 W1140151"
"ROG","Rogers, AR","N362221 W0940625"
"GYY","Gary, IN","N413659 W0872446"
"OPF","Miami, FL","N255425 W0801642"
"ORL","Orlando, FL","N283244 W0811959"
"SCF","Phoenix, AZ","N333722 W1115438"
"SDM","San Diego, CA","N323420 W1165849"
"TRM","Thermal, CA","N333740 W1160936"
"VNY","Van Nuys, CA","N341235 W1182924"
"ART","Watertown, NY","N435931 W0760118"
"AUG","Augusta/Waterville, ME","N441914 W0694750"
"CGI","Cape Girardeau, MO","N371331 W0893415"
"EWB","New Bedford/Fall River, MA","N414034 W0705725"
"HGR","Hagerstown, MD","N394229 W0774346"
"HYA","Hyannis, MA","N414010 W0701649"
"IRK","Kirksville, MO","N400537 W0923242"
"LNS","Lancaster, PA","N400718 W0761746"
"MAZ","Mayaguez, PR","N181520 W0670854"
"MSS","Massena, NY","N445609 W0745044"
"MWA","Marion/Herrin, IL","N374511 W0890042"
"OGS","Ogdensburg, NY","N444055 W0752756"
"RKD","Rockland, ME","N440336 W0690557"
"RUT","Rutland, VT","N433148 W0725659"
"SLK","Saranac Lake/Lake Placid, NY","N442307 W0741222"
"UIN","Quincy, IL","N395634 W0911140"
"FLG","Flagstaff, AZ","N350818 W1114016"
"ITO","Hilo, HI","N194313 W1550254"
"AST","Astoria/Seaside, OR","N460929 W1235243"
"ELD","El Dorado, AR","N331315 W0924848"
"HOT","Hot Springs, AR","N342841 W0930546"
"HRO","Harrison, AR","N361542 W0930917"
"JBR","Jonesboro, AR","N354955 W0903846"
"ONP","Newport, OR","N443449 W1240328"
"PDT","Pendleton, OR","N454142 W1185029"
"SLN","Salina, KS","N384729 W0973902"
"STC","St. Cloud, MN","N453248 W0940336"
"STJ","St. Joseph, MO","N394619 W0945435"
"PPG","Pago Pago, TT","S141954 W1704241"
"CPX","Culebra, PR","N181848 W651816"
"JRV","Ceiba, PR","N181443 W0653836"
"DWH","Houston, TX","N300343 W0953310"
"MXY","Mccarthy, AK","N612613 W1425413"
"SVW","Sparrevohn, AK","N610551 W1553427"
"CFA","Coffee Point, AK","N581300 W1573000"
"FXE","Fort Lauderdale, FL","N261150 W0801015"
"LFI","Newport News/Wmsburg, VA","N370458 W0762138"
"FPR","Fort Pierce, FL","N272942 W0802206"
