"from","to","Carrier","Departures","Seats","Passengers","Aircraft","Distance"
"BET","TNK","Grant Aviation",14,84,22,35,118
"BET","TNK","Grant Aviation",10,90,10,416,118
"BET","VAK","Grant Aviation",24,216,55,194,136
"BET","VAK","Grant Aviation",20,180,86,416,136
"BET","WNA","Grant Aviation",17,102,22,35,11
"BET","WNA","Grant Aviation",1,9,2,194,11
"BET","WNA","Grant Aviation",9,54,11,35,11
"BET","WNA","Grant Aviation",2,18,1,416,11
"BET","WTL","Grant Aviation",33,198,83,35,41
"BET","WTL","Grant Aviation",3,27,15,194,41
"BET","WTL","Grant Aviation",8,72,27,416,41
"BET","WTL","Grant Aviation",1,9,3,194,41
"BET","WWT","Grant Aviation",19,114,27,35,96
"BET","WWT","Grant Aviation",5,45,9,416,96
"CDB","KVC","Grant Aviation",1,9,7,416,19
"CHU","ANI","Grant Aviation",1,6,2,35,10
"CKD","CHU","Grant Aviation",1,6,3,35,42
"CLP","DLG","Grant Aviation",13,78,21,35,14
"CLP","DLG","Grant Aviation",9,81,19,194,14
"CLP","KMO","Grant Aviation",8,48,5,35,21
"CLP","KMO","Grant Aviation",2,18,5,416,21
"CYF","BET","Grant Aviation",15,90,12,35,90
"CYF","BET","Grant Aviation",4,36,5,416,90
"CYF","BET","Grant Aviation",2,12,1,35,90
"CYF","KPN","Grant Aviation",8,48,4,35,20
"CYF","KPN","Grant Aviation",7,63,1,416,20
"CYF","PKA","Grant Aviation",2,12,4,35,90
"CYF","WNA","Grant Aviation",1,6,1,35,79
"CYF","WTL","Grant Aviation",1,6,2,35,55
"CZF","BET","Grant Aviation",3,18,2,35,156
"CZF","BET","Grant Aviation",2,18,1,194,156
"CZF","EHM","Grant Aviation",1,9,3,194,256
"DLG","ANC","Grant Aviation",1,9,4,406,329
"DLG","CLP","Grant Aviation",15,90,17,35,14
"DLG","CLP","Grant Aviation",5,45,14,194,14
"DLG","CLP","Grant Aviation",2,18,3,416,14
"DLG","CLP","Grant Aviation",2,12,3,35,14
"DLG","CLP","Grant Aviation",1,9,5,194,14
"DLG","CLP","Grant Aviation",4,36,3,416,14
"DLG","KEK","Grant Aviation",14,84,11,35,43
"DLG","KEK","Grant Aviation",1,9,2,194,43
"DLG","KEK","Grant Aviation",3,27,6,416,43
"DLG","KGK","Grant Aviation",7,42,15,35,69
"DLG","KGK","Grant Aviation",7,63,6,194,69
"DLG","KGK","Grant Aviation",2,18,8,416,69
"DLG","KLL","Grant Aviation",1,6,1,35,59
"DLG","KMO","Grant Aviation",17,102,28,35,20
"DLG","KMO","Grant Aviation",6,54,12,194,20
"DLG","KMO","Grant Aviation",5,45,6,416,20
"DLG","KNW","Grant Aviation",11,66,10,35,50
"DLG","KNW","Grant Aviation",8,72,6,194,50
"DLG","KNW","Grant Aviation",1,6,1,35,50
"DLG","TOG","Grant Aviation",7,42,5,35,67
"DLG","TOG","Grant Aviation",12,108,8,194,67
"DLG","TOG","Grant Aviation",15,135,10,416,67
"DLG","TWA","Grant Aviation",2,18,2,194,63
"DLG","WKK","Grant Aviation",1,9,2,416,17
"DRF","ANC","Grant Aviation",1,6,2,35,83
"DRF","ANC","Grant Aviation",2,18,2,416,83
"DRF","ANC","Grant Aviation",1,9,1,416,83
"DUT","ANC","Grant Aviation",1,9,6,406,792
"EEK","BET","Grant Aviation",24,144,70,35,40
"EEK","BET","Grant Aviation",11,99,39,194,40
"EEK","BET","Grant Aviation",5,45,7,416,40
"EEK","BET","Grant Aviation",1,9,5,194,40
"EEK","KPN","Grant Aviation",1,9,6,416,73
"EEK","KWN","Grant Aviation",14,84,26,35,32
"EEK","KWN","Grant Aviation",6,54,12,194,32
"EEK","KWN","Grant Aviation",7,63,30,416,32
"EEK","PKA","Grant Aviation",1,6,3,35,35
"EEK","RSH","Grant Aviation",1,6,1,35,111
"EEK","WTL","Grant Aviation",3,18,9,35,23
"EEK","WTL","Grant Aviation",1,9,6,416,23
"EHM","BET","Grant Aviation",2,12,1,35,148
"EHM","BET","Grant Aviation",3,27,6,194,148
"EMK","AUK","Grant Aviation",90,540,86,35,7
"EMK","AUK","Grant Aviation",2,18,16,194,7
"EMK","AUK","Grant Aviation",11,99,17,416,7
"EMK","AUK","Grant Aviation",4,24,2,35,7
"EMK","BET","Grant Aviation",4,24,14,35,164
"EMK","BET","Grant Aviation",53,477,286,194,164
"EMK","BET","Grant Aviation",1,9,5,406,164
"EMK","BET","Grant Aviation",15,135,82,416,164
"EMK","KOT","Grant Aviation",112,672,114,35,35
"EMK","KOT","Grant Aviation",19,171,56,194,35
"EMK","KOT","Grant Aviation",18,162,11,416,35
"EMK","MLL","Grant Aviation",1,6,6,35,101
"EMK","MOU","Grant Aviation",1,9,1,194,54
"EMK","SCM","Grant Aviation",1,6,1,35,73
"EMK","SXP","Grant Aviation",35,210,56,35,20
"EMK","SXP","Grant Aviation",1,9,5,194,20
"ENA","ANC","Grant Aviation",17,153,76,406,60
"ENA","ANC","Grant Aviation",383,3447,1972,416,60
"HOM","A23","Grant Aviation",2,12,4,35,19
"HOM","A23","Grant Aviation",11,66,22,35,19
"HOM","ANC","Grant Aviation",1,9,9,194,117
"HOM","ANC","Grant Aviation",7,63,19,406,117
"HOM","PGM","Grant Aviation",1,6,1,35,24
"HOM","SOV","Grant Aviation",8,48,12,35,17
"HPB","BET","Grant Aviation",15,135,23,194,153
"HPB","BET","Grant Aviation",11,99,22,416,153
"HPB","KUK","Grant Aviation",1,9,6,194,129
"HPB","SCM","Grant Aviation",14,126,47,194,29
"HPB","SCM","Grant Aviation",9,81,32,416,29
"HPB","VAK","Grant Aviation",8,72,19,194,19
"HPB","VAK","Grant Aviation",15,135,54,416,19
"KEK","DLG","Grant Aviation",7,42,4,35,43
"KEK","DLG","Grant Aviation",6,54,9,194,43
"KEK","DLG","Grant Aviation",2,18,3,416,43
"KEK","KNW","Grant Aviation",13,78,8,35,8
"KEK","KNW","Grant Aviation",2,18,6,416,8
"KGK","DLG","Grant Aviation",13,78,18,35,69
"KGK","DLG","Grant Aviation",5,45,12,194,69
"KGK","DLG","Grant Aviation",3,27,5,416,69
"KGK","KEK","Grant Aviation",3,18,3,35,32
"KGK","KEK","Grant Aviation",2,18,4,194,32
"KGK","KNW","Grant Aviation",3,18,1,35,24
"KGK","KNW","Grant Aviation",5,45,16,194,24
"KGK","KNW","Grant Aviation",1,9,2,416,24
"KGX","BET","Grant Aviation",1,9,4,416,157
"KKH","BET","Grant Aviation",22,132,64,35,76
"KKH","BET","Grant Aviation",2,18,6,194,76
"KKH","BET","Grant Aviation",17,153,70,416,76
"KKH","BET","Grant Aviation",1,6,4,35,76
"KKH","KPN","Grant Aviation",1,6,6,35,35
"KKH","KPN","Grant Aviation",1,9,4,416,35
"KKH","KWK","Grant Aviation",17,102,37,35,3
"KKH","KWK","Grant Aviation",8,72,22,416,3
"KKH","WTL","Grant Aviation",13,78,21,35,37
"KKH","WTL","Grant Aviation",2,18,3,416,37
"KKI","ATT","Grant Aviation",1,6,6,35,29
"KKI","BET","Grant Aviation",8,48,8,35,16
"KKI","KWN","Grant Aviation",1,6,6,35,81
"KKI","KWN","Grant Aviation",1,9,8,416,81
"KKI","WTL","Grant Aviation",2,12,10,35,56
"KLL","DLG","Grant Aviation",1,6,1,35,59
"KMO","CLP","Grant Aviation",5,30,1,35,21
"KMO","CLP","Grant Aviation",4,36,7,194,21
"KMO","DLG","Grant Aviation",19,114,29,35,20
"KMO","DLG","Grant Aviation",3,27,5,194,20
"KMO","DLG","Grant Aviation",7,63,18,416,20
"KMO","WKK","Grant Aviation",1,6,1,35,26
"KNW","DLG","Grant Aviation",11,66,16,35,50
"KNW","DLG","Grant Aviation",4,36,2,194,50
"KNW","DLG","Grant Aviation",1,6,2,35,50
"KNW","KEK","Grant Aviation",3,18,1,35,8
"KNW","KEK","Grant Aviation",3,27,8,194,8
"KNW","KEK","Grant Aviation",1,9,3,416,8
"KNW","KGK","Grant Aviation",13,78,12,35,24
"KNW","KGK","Grant Aviation",4,36,3,194,24
"KNW","KGK","Grant Aviation",2,18,3,416,24
"KNW","KLG","Grant Aviation",1,9,9,194,177
"KNW","TOG","Grant Aviation",1,9,8,194,112
"KOT","AUK","Grant Aviation",6,54,28,194,41
"KOT","AUK","Grant Aviation",2,18,12,416,41
"KOT","BET","Grant Aviation",2,12,6,35,165
"KOT","BET","Grant Aviation",12,108,70,194,165
"KOT","BET","Grant Aviation",3,27,13,416,165
"KOT","BET","Grant Aviation",1,9,8,194,165
"KOT","EMK","Grant Aviation",112,672,114,35,35
"KOT","EMK","Grant Aviation",14,126,39,194,35
"KOT","EMK","Grant Aviation",15,135,11,416,35
"KOT","EMK","Grant Aviation",2,12,6,35,35
"KOT","EMK","Grant Aviation",1,9,9,194,35
"KOT","SXP","Grant Aviation",4,36,16,194,53
"KPN","BET","Grant Aviation",24,144,40,35,96
"KPN","BET","Grant Aviation",12,108,14,416,96
"KPN","CYF","Grant Aviation",10,60,5,35,20
"KPN","CYF","Grant Aviation",4,36,8,416,20
"KPN","EEK","Grant Aviation",1,9,8,416,73
"KPN","KKH","Grant Aviation",2,18,2,416,35
"KPN","KWK","Grant Aviation",4,24,10,35,33
"KPN","KWK","Grant Aviation",1,9,1,416,33
"KPN","WTL","Grant Aviation",2,12,1,35,57
"KPN","WWT","Grant Aviation",2,12,12,35,72
"KSM","KOT","Grant Aviation",1,9,1,194,68
"KUK","BET","Grant Aviation",1,9,5,194,24
"KUK","BET","Grant Aviation",1,9,8,416,24
"KUK","BET","Grant Aviation",8,48,8,35,24
"KUK","OOK","Grant Aviation",1,6,1,35,91
"KVC","ANC","Grant Aviation",1,9,7,416,617
"KWK","BET","Grant Aviation",35,210,82,35,80
"KWK","BET","Grant Aviation",13,117,51,416,80
"KWK","BET","Grant Aviation",3,18,2,35,80
"KWK","BET","Grant Aviation",2,18,1,416,80
"KWK","KKH","Grant Aviation",9,54,17,35,3
"KWK","KKH","Grant Aviation",10,90,28,416,3
"KWK","KPN","Grant Aviation",6,36,14,35,33
"KWK","NME","Grant Aviation",1,6,2,35,71
"KWK","WNA","Grant Aviation",1,6,2,35,69
"KWK","WNA","Grant Aviation",1,6,6,35,69
"KWK","WTL","Grant Aviation",9,54,23,35,40
"KWK","WTL","Grant Aviation",2,18,4,416,40
"KWN","BET","Grant Aviation",29,174,63,35,71
"KWN","BET","Grant Aviation",7,63,29,194,71
"KWN","BET","Grant Aviation",15,135,47,416,71
"KWN","BET","Grant Aviation",2,18,6,416,71
"KWN","EEK","Grant Aviation",13,78,29,35,32
"KWN","EEK","Grant Aviation",7,63,21,194,32
"KWN","EEK","Grant Aviation",5,45,14,416,32
"KWN","KKI","Grant Aviation",1,6,6,35,81
"KWN","KKI","Grant Aviation",1,9,8,416,81
"KWT","BET","Grant Aviation",1,6,3,35,13
"KWT","BET","Grant Aviation",7,42,5,35,13
"KWT","BET","Grant Aviation",2,18,13,416,13
"KWT","PKA","Grant Aviation",1,6,5,35,13
"MLL","BET","Grant Aviation",14,84,14,35,75
"MLL","BET","Grant Aviation",7,63,9,194,75
"MLL","BET","Grant Aviation",1,9,2,416,75
"MLL","BET","Grant Aviation",2,18,8,416,75
"MLL","EMK","Grant Aviation",1,9,1,194,101
"MLL","EMK","Grant Aviation",1,9,5,416,101
"MLL","KUK","Grant Aviation",1,6,1,35,71
"MLL","MOU","Grant Aviation",1,6,6,35,56
"MOU","BET","Grant Aviation",2,12,2,35,110
"MOU","MLL","Grant Aviation",1,9,5,194,56
"MYU","BET","Grant Aviation",23,207,44,194,154
"MYU","BET","Grant Aviation",3,27,16,416,154
"MYU","OOK","Grant Aviation",11,99,23,194,41
"MYU","OOK","Grant Aviation",2,18,4,416,41
"NME","BET","Grant Aviation",15,90,14,35,100
"NME","BET","Grant Aviation",5,45,7,194,100
"NME","BET","Grant Aviation",7,63,11,416,100
"NME","OOK","Grant Aviation",3,18,2,35,14
"NME","OOK","Grant Aviation",2,18,2,194,14
"NME","TNK","Grant Aviation",2,12,2,35,19
"NME","TNK","Grant Aviation",1,9,1,416,19
"NME","WWT","Grant Aviation",5,30,7,35,30
"NUP","BET","Grant Aviation",2,12,1,35,23
"OME","EMK","Grant Aviation",1,9,4,194,123
"OOK","BET","Grant Aviation",15,90,19,35,113
"OOK","BET","Grant Aviation",23,207,37,194,113
"OOK","BET","Grant Aviation",5,45,7,416,113
"OOK","CYF","Grant Aviation",2,12,12,35,38
"OOK","CYF","Grant Aviation",1,9,5,416,38
"OOK","KUK","Grant Aviation",1,6,1,35,91
"OOK","MYU","Grant Aviation",17,153,30,194,41
"OOK","MYU","Grant Aviation",4,36,8,416,41
"OOK","NME","Grant Aviation",7,42,7,35,14
"OOK","NME","Grant Aviation",4,36,10,194,14
"OOK","NME","Grant Aviation",3,27,6,416,14
"OOK","TNK","Grant Aviation",3,18,5,35,6
"OOK","TNK","Grant Aviation",2,18,2,416,6
"OOK","WWT","Grant Aviation",13,78,47,35,31
"OOK","WWT","Grant Aviation",3,27,7,416,31
"OOK","WWT","Grant Aviation",1,6,2,35,31
"PGM","HOM","Grant Aviation",2,12,1,35,24
"PGM","SOV","Grant Aviation",2,12,9,35,7
"PKA","BET","Grant Aviation",21,126,45,35,6
"PKA","BET","Grant Aviation",2,18,2,416,6
"PKA","BET","Grant Aviation",4,24,2,35,6
"PKA","MLL","Grant Aviation",1,6,2,35,81
"PKA","WNA","Grant Aviation",8,48,12,35,12
"PKA","WTL","Grant Aviation",1,6,1,35,39
"SCM","AUK","Grant Aviation",1,6,3,35,66
"SCM","BET","Grant Aviation",23,207,64,194,145
"SCM","BET","Grant Aviation",18,162,37,416,145
"SCM","HPB","Grant Aviation",7,63,24,194,29
"SCM","HPB","Grant Aviation",10,90,34,416,29
"SCM","VAK","Grant Aviation",7,63,13,194,22
"SCM","VAK","Grant Aviation",1,9,5,416,22
"SOV","HOM","Grant Aviation",8,48,17,35,17
"SOV","PGM","Grant Aviation",2,12,9,35,7
"SXP","AUK","Grant Aviation",12,72,16,35,13
"SXP","AUK","Grant Aviation",3,27,18,194,13
"SXP","AUK","Grant Aviation",1,9,6,416,13
"SXP","BET","Grant Aviation",1,9,8,194,156
"SXP","EMK","Grant Aviation",34,204,49,35,20
"SXP","EMK","Grant Aviation",3,27,3,194,20
"SXP","EMK","Grant Aviation",3,27,6,416,20
"SXP","EMK","Grant Aviation",1,6,1,35,20
"SXP","KOT","Grant Aviation",1,6,3,35,53
"SXP","KOT","Grant Aviation",1,6,4,35,53
"SXP","SCM","Grant Aviation",2,12,3,35,54
"TNK","BET","Grant Aviation",8,48,16,35,118
"TNK","BET","Grant Aviation",8,72,12,416,118
"TNK","KUK","Grant Aviation",1,9,9,416,95
"TNK","NME","Grant Aviation",4,24,1,35,19
"TNK","NME","Grant Aviation",2,18,1,416,19
"TNK","OOK","Grant Aviation",8,48,8,35,6
"TNK","WWT","Grant Aviation",4,24,8,35,32
"TNK","WWT","Grant Aviation",2,18,10,416,32
"TOG","DLG","Grant Aviation",5,30,6,35,67
"TOG","DLG","Grant Aviation",14,126,12,194,67
"TOG","DLG","Grant Aviation",14,126,17,416,67
"TWA","TOG","Grant Aviation",2,18,2,194,4
"VAK","BET","Grant Aviation",25,225,59,194,136
"VAK","BET","Grant Aviation",26,234,72,416,136
"VAK","HPB","Grant Aviation",9,81,28,194,19
"VAK","HPB","Grant Aviation",8,72,33,416,19
"VAK","SCM","Grant Aviation",4,36,10,194,22
"VAK","SCM","Grant Aviation",2,18,1,416,22
"VDZ","ANC","Grant Aviation",39,351,153,406,126
"WKK","DLG","Grant Aviation",8,48,1,35,17
"WNA","BET","Grant Aviation",17,102,29,35,11
"WNA","BET","Grant Aviation",8,48,9,35,11
"WNA","BET","Grant Aviation",2,18,3,416,11
"WNA","EEK","Grant Aviation",1,9,3,194,34
"WNA","KWK","Grant Aviation",1,6,5,35,69
"WNA","PKA","Grant Aviation",12,72,16,35,12
"WTL","BET","Grant Aviation",34,204,89,35,41
"WTL","BET","Grant Aviation",2,18,11,194,41
"WTL","BET","Grant Aviation",5,45,12,416,41
"WTL","BET","Grant Aviation",3,18,4,35,41
"WTL","BET","Grant Aviation",1,9,1,194,41
"WTL","CYF","Grant Aviation",2,12,4,35,55
"WTL","CYF","Grant Aviation",1,6,2,35,55
"WTL","KKH","Grant Aviation",16,96,34,35,37
"WTL","KKH","Grant Aviation",1,9,7,194,37
"WTL","KKH","Grant Aviation",6,54,16,416,37
"WTL","KWK","Grant Aviation",6,36,17,35,40
"WTL","KWK","Grant Aviation",2,18,6,416,40
"WTL","KWN","Grant Aviation",1,6,4,35,49
"WWT","BET","Grant Aviation",17,102,28,35,96
"WWT","BET","Grant Aviation",5,45,4,416,96
"WWT","BET","Grant Aviation",3,18,3,35,96
"WWT","MOU","Grant Aviation",1,6,4,35,86
"WWT","NME","Grant Aviation",2,12,1,35,30
"WWT","OOK","Grant Aviation",17,102,45,35,31
"WWT","OOK","Grant Aviation",5,45,10,416,31
"WWT","TNK","Grant Aviation",5,30,10,35,32
"ABL","OBU","Hageland Aviation Service",1,8,2,194,29
"ABL","OBU","Hageland Aviation Service",1,9,1,416,29
"ABL","OTZ","Hageland Aviation Service",3,24,3,194,130
"ABL","OTZ","Hageland Aviation Service",22,198,45,416,130
"ABL","OTZ","Hageland Aviation Service",3,18,2,35,130
"ABL","OTZ","Hageland Aviation Service",1,8,2,194,130
"ABL","RDB","Hageland Aviation Service",2,16,9,194,149
"ABL","SHG","Hageland Aviation Service",4,32,14,194,23
"ABL","SHG","Hageland Aviation Service",21,189,55,416,23
"ABL","SHG","Hageland Aviation Service",1,8,3,194,23
"AET","FAI","Hageland Aviation Service",8,64,5,194,183
"AET","NUL","Hageland Aviation Service",1,9,8,416,200
"AIN","ATK","Hageland Aviation Service",35,315,167,416,61
"AIN","ATK","Hageland Aviation Service",4,36,24,416,61
"AIN","BRW","Hageland Aviation Service",7,133,26,405,87
"AIN","BRW","Hageland Aviation Service",64,576,322,416,87
"AIN","PIZ","Hageland Aviation Service",9,81,33,416,94
"AKI","BET","Hageland Aviation Service",32,192,69,35,22
"AKI","BET","Hageland Aviation Service",2,18,6,416,22
"AKI","EMK","Hageland Aviation Service",1,6,5,35,169
"AKI","KKI","Hageland Aviation Service",4,24,7,35,7
"AKI","KKI","Hageland Aviation Service",2,12,10,35,7
"AKI","KWT","Hageland Aviation Service",13,78,20,35,10
"AKI","KWT","Hageland Aviation Service",1,9,7,416,10
"AKI","MLL","Hageland Aviation Service",1,9,4,416,72
"AKI","TLT","Hageland Aviation Service",9,54,12,35,16
"AKP","AET","Hageland Aviation Service",4,32,3,194,112
"AKP","FAI","Hageland Aviation Service",3,24,1,194,254
"ANC","BTI","Hageland Aviation Service",1,19,17,405,647
"ANC","GAL","Hageland Aviation Service",29,232,1,194,329
"ANI","ANV","Hageland Aviation Service",13,78,18,35,77
"ANI","ANV","Hageland Aviation Service",4,36,6,416,77
"ANI","BET","Hageland Aviation Service",6,36,18,35,94
"ANI","BET","Hageland Aviation Service",7,63,30,416,94
"ANI","BET","Hageland Aviation Service",2,12,2,35,94
"ANI","CHU","Hageland Aviation Service",30,180,39,35,10
"ANI","CHU","Hageland Aviation Service",2,12,2,35,10
"ANI","CKD","Hageland Aviation Service",11,66,16,35,51
"ANI","CKD","Hageland Aviation Service",3,27,1,416,51
"ANI","HCR","Hageland Aviation Service",35,210,72,35,43
"ANI","HCR","Hageland Aviation Service",9,81,58,416,43
"ANI","KGX","Hageland Aviation Service",16,96,25,35,93
"ANI","KGX","Hageland Aviation Service",10,90,14,416,93
"ANI","KKI","Hageland Aviation Service",4,24,15,35,78
"ANI","KLG","Hageland Aviation Service",58,348,85,35,26
"ANI","KLG","Hageland Aviation Service",28,252,114,416,26
"ANI","KLG","Hageland Aviation Service",6,36,11,35,26
"ANI","LVD","Hageland Aviation Service",2,12,2,35,137
"ANI","MLL","Hageland Aviation Service",1,6,3,35,85
"ANI","RDV","Hageland Aviation Service",3,18,3,35,74
"ANI","RSH","Hageland Aviation Service",22,132,18,35,60
"ANI","RSH","Hageland Aviation Service",13,117,10,416,60
"ANI","SHX","Hageland Aviation Service",19,114,26,35,77
"ANI","SHX","Hageland Aviation Service",4,36,16,416,77
"ANI","SHX","Hageland Aviation Service",1,6,2,35,77
"ANI","SLQ","Hageland Aviation Service",10,60,6,35,79
"ANI","SLQ","Hageland Aviation Service",2,18,3,416,79
"ANI","SRV","Hageland Aviation Service",2,12,6,35,98
"ANV","ANI","Hageland Aviation Service",18,108,27,35,77
"ANV","ANI","Hageland Aviation Service",3,27,9,416,77
"ANV","HCR","Hageland Aviation Service",5,30,15,35,34
"ANV","HCR","Hageland Aviation Service",2,18,5,416,34
"ANV","KGX","Hageland Aviation Service",4,24,7,35,18
"ANV","KGX","Hageland Aviation Service",4,36,6,416,18
"ANV","KLG","Hageland Aviation Service",1,9,5,416,77
"ANV","SHX","Hageland Aviation Service",3,18,6,35,20
"ANV","SHX","Hageland Aviation Service",2,18,3,416,20
"ATK","AIN","Hageland Aviation Service",2,38,3,405,61
"ATK","AIN","Hageland Aviation Service",25,225,117,416,61
"ATK","AIN","Hageland Aviation Service",1,9,9,416,61
"ATK","BRW","Hageland Aviation Service",57,513,310,416,59
"ATK","BRW","Hageland Aviation Service",9,81,30,416,59
"ATK","PIZ","Hageland Aviation Service",1,9,1,416,141
"ATK","SCC","Hageland Aviation Service",1,9,6,416,211
"ATT","BET","Hageland Aviation Service",31,186,41,35,16
"ATT","BET","Hageland Aviation Service",2,18,2,416,16
"ATT","BET","Hageland Aviation Service",2,12,2,35,16
"ATT","BET","Hageland Aviation Service",1,9,6,416,16
"ATT","KKI","Hageland Aviation Service",1,6,4,35,29
"ATT","KUK","Hageland Aviation Service",8,48,11,35,9
"ATT","NUP","Hageland Aviation Service",13,78,23,35,7
"ATT","NUP","Hageland Aviation Service",1,9,4,416,7
"AUK","EMK","Hageland Aviation Service",2,12,4,35,7
"AUK","EMK","Hageland Aviation Service",15,135,61,416,7
"AUK","EMK","Hageland Aviation Service",1,6,2,35,7
"AUK","EMK","Hageland Aviation Service",1,9,1,416,7
"AUK","KOT","Hageland Aviation Service",1,6,2,35,41
"AUK","KOT","Hageland Aviation Service",2,12,2,35,41
"AUK","KOT","Hageland Aviation Service",2,18,14,416,41
"AUK","KSM","Hageland Aviation Service",12,72,21,35,61
"AUK","KSM","Hageland Aviation Service",9,81,21,416,61
"AUK","KSM","Hageland Aviation Service",4,24,6,35,61
"AUK","MOU","Hageland Aviation Service",1,9,3,416,51
"AUK","MOU","Hageland Aviation Service",2,12,3,35,51
"AUK","SXP","Hageland Aviation Service",5,30,7,35,13
"AUK","SXP","Hageland Aviation Service",6,54,28,416,13
"AUK","SXP","Hageland Aviation Service",1,6,3,35,13
"BET","AKI","Hageland Aviation Service",28,168,67,35,22
"BET","AKI","Hageland Aviation Service",5,45,7,416,22
"BET","AKI","Hageland Aviation Service",1,6,4,35,22
"BET","ANI","Hageland Aviation Service",8,48,20,35,94
"BET","ANI","Hageland Aviation Service",1,9,9,416,94
"BET","ANI","Hageland Aviation Service",2,12,4,35,94
"BET","ATT","Hageland Aviation Service",35,210,43,35,16
"BET","ATT","Hageland Aviation Service",2,18,8,416,16
"BET","ATT","Hageland Aviation Service",3,18,1,35,16
"BET","CYF","Hageland Aviation Service",15,90,31,35,90
"BET","CYF","Hageland Aviation Service",27,243,128,416,90
"BET","CYF","Hageland Aviation Service",1,6,1,35,90
"BET","EEK","Hageland Aviation Service",14,84,19,35,40
"BET","EEK","Hageland Aviation Service",4,36,13,416,40
"BET","HCR","Hageland Aviation Service",1,6,1,35,119
"BET","HPB","Hageland Aviation Service",3,24,3,194,153
"BET","HPB","Hageland Aviation Service",30,270,117,416,153
"BET","HPB","Hageland Aviation Service",28,252,132,417,153
"BET","HPB","Hageland Aviation Service",2,16,7,194,153
"BET","KKH","Hageland Aviation Service",32,192,51,35,76
"BET","KKH","Hageland Aviation Service",6,54,17,416,76
"BET","KKH","Hageland Aviation Service",1,6,3,35,76
"BET","KKI","Hageland Aviation Service",26,156,52,35,16
"BET","KKI","Hageland Aviation Service",1,9,6,416,16
"BET","KKI","Hageland Aviation Service",2,12,2,35,16
"BET","KLG","Hageland Aviation Service",24,144,70,35,73
"BET","KLG","Hageland Aviation Service",24,216,148,416,73
"BET","KLG","Hageland Aviation Service",1,9,7,417,73
"BET","KLG","Hageland Aviation Service",1,6,4,35,73
"BET","KPN","Hageland Aviation Service",58,348,124,35,96
"BET","KPN","Hageland Aviation Service",30,270,182,416,96
"BET","KSM","Hageland Aviation Service",10,60,32,35,101
"BET","KSM","Hageland Aviation Service",7,63,33,416,101
"BET","KSM","Hageland Aviation Service",1,9,7,417,101
"BET","KSM","Hageland Aviation Service",1,6,2,35,101
"BET","KUK","Hageland Aviation Service",29,174,64,35,24
"BET","KUK","Hageland Aviation Service",3,27,19,416,24
"BET","KUK","Hageland Aviation Service",5,30,4,35,24
"BET","KWK","Hageland Aviation Service",19,114,47,35,80
"BET","KWK","Hageland Aviation Service",3,27,11,416,80
"BET","KWN","Hageland Aviation Service",27,162,22,35,71
"BET","KWN","Hageland Aviation Service",3,27,9,416,71
"BET","KWN","Hageland Aviation Service",1,9,4,416,71
"BET","KWT","Hageland Aviation Service",38,228,88,35,13
"BET","KWT","Hageland Aviation Service",3,18,4,35,13
"BET","MLL","Hageland Aviation Service",22,132,51,35,75
"BET","MLL","Hageland Aviation Service",4,32,22,194,75
"BET","MLL","Hageland Aviation Service",22,198,110,416,75
"BET","MLL","Hageland Aviation Service",4,36,9,417,75
"BET","MOU","Hageland Aviation Service",10,60,34,35,110
"BET","MOU","Hageland Aviation Service",23,207,158,416,110
"BET","MOU","Hageland Aviation Service",2,12,2,35,110
"BET","MYU","Hageland Aviation Service",3,24,16,194,154
"BET","MYU","Hageland Aviation Service",3,27,9,416,154
"BET","MYU","Hageland Aviation Service",4,36,16,417,154
"BET","MYU","Hageland Aviation Service",1,9,9,416,154
"BET","NME","Hageland Aviation Service",3,18,9,35,100
"BET","NME","Hageland Aviation Service",2,16,11,194,100
"BET","NME","Hageland Aviation Service",27,243,116,416,100
"BET","NME","Hageland Aviation Service",4,36,24,417,100
"BET","NUP","Hageland Aviation Service",23,138,43,35,23
"BET","NUP","Hageland Aviation Service",7,42,13,35,23
"BET","NUP","Hageland Aviation Service",2,16,2,194,23
"BET","OOK","Hageland Aviation Service",3,18,8,35,113
"BET","OOK","Hageland Aviation Service",12,96,24,194,113
"BET","OOK","Hageland Aviation Service",26,234,111,416,113
"BET","OOK","Hageland Aviation Service",13,117,35,417,113
"BET","OOK","Hageland Aviation Service",2,12,2,35,113
"BET","PQS","Hageland Aviation Service",20,120,73,35,87
"BET","PQS","Hageland Aviation Service",1,8,8,194,87
"BET","PQS","Hageland Aviation Service",27,243,184,416,87
"BET","RSH","Hageland Aviation Service",8,48,13,35,71
"BET","RSH","Hageland Aviation Service",3,24,14,194,71
"BET","RSH","Hageland Aviation Service",5,45,19,416,71
"BET","RSH","Hageland Aviation Service",3,27,12,417,71
"BET","SCM","Hageland Aviation Service",4,32,10,194,145
"BET","SCM","Hageland Aviation Service",25,225,84,416,145
"BET","SCM","Hageland Aviation Service",5,45,22,417,145
"BET","SCM","Hageland Aviation Service",1,8,3,194,145
"BET","TLT","Hageland Aviation Service",31,186,87,35,36
"BET","TNK","Hageland Aviation Service",1,6,2,35,118
"BET","TNK","Hageland Aviation Service",9,81,38,416,118
"BET","VAK","Hageland Aviation Service",7,56,38,194,136
"BET","VAK","Hageland Aviation Service",47,423,240,416,136
"BET","VAK","Hageland Aviation Service",8,72,38,417,136
"BET","VAK","Hageland Aviation Service",1,9,9,416,136
